Art_ID,Viz_Num,Graph_Type,Points,Lines,Bar_Col,Box,Hist_Dens,Tiles,Geo_Map,X_Axis,Y_Axis,Color_Fill,Size,Shape,Alpha,Interactive,Motion,Scroll,Perc_Num,Task1,Task2
1,1,5,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,,,
1,2,5,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,,,
1,3,5,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,,,
1,4,5,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,,,
1,5,5,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,,,
1,6,5,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,,,
1,7,5,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,,,
1,8,5,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,,,
1,9,5,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,,,
1,10,5,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,,,
1,11,5,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,,,
1,12,5,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,,,
1,13,5,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,,,
1,14,5,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,,,
1,15,5,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,,,
1,16,5,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,,,
2,1,7,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,,,
3,1,7,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,,,
3,2,7,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,,,
3,3,7,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,,,
3,4,7,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,,,
4,1,7,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,,
5,1,7,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,,,
6,1,7,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,,
6,2,7,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,,
6,3,7,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,,
7,1,7,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,,,
7,2,7,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,,,
7,3,7,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,,,
7,4,7,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,,,
7,5,7,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,,,
8,1,7,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,,
9,1,4,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,,,
9,2,2,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,,,
9,3,7,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,,,
10,1,2,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,,,
11,1,3,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,,,
11,2,3,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,,,
12,1,5,1,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,,,
12,2,5,1,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,,,
12,3,5,1,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,,,
12,4,5,1,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,,,
12,5,2,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,,,
13,1,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,,,
14,1,4,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,,,
14,2,4,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,,,
14,3,4,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,,,
14,4,4,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,,,
14,5,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,,
14,6,4,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,,
14,7,7,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,,
14,8,4,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,,
14,9,4,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,,
14,10,4,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,,
14,11,2,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,,
14,12,7,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,,
14,13,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,,
14,14,4,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,,,
14,15,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,,
14,16,4,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,,,
14,17,4,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,,
14,18,7,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,,
14,19,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,,
14,20,4,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,,,
14,21,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,,
14,22,4,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,,,
14,23,4,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,,,
14,24,4,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,,,
15,1,,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,,,
15,2,,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,,,
15,3,,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,,,
15,4,,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,,,
15,5,,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,,,
15,6,,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,,,
15,7,4,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,,,
15,8,9,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,,
15,9,9,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,,
16,1,,,,,,,,,,,,,,,,,,,,
17,1,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,
17,2,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,
17,3,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,
17,4,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,
18,1,,,,,,,,,,,,,,,,,,,,
18,2,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,,
18,3,2,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,,,
18,4,2,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,,,
18,5,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,,
18,6,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,,
18,7,7,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,,
18,8,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,,
19,1,7,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,,
20,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,,,
21,1,3,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,,,
22,1,,,,,,,,,,,,,,,,,,,,
23,1,,,,,,,,,,,,,,,,,,,,
24,1,,,,,,,,,,,,,,,,,,,,
25,1,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,,,
25,2,7,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,,
25,3,2,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,,,
25,4,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,,,
25,5,3,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,,,
25,6,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,,,
26,1,,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,,
26,2,7,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,,
27,1,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,,,
28,1,7,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,,
28,2,7,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,,
